ID,question,tags
637,Which celebrity is the most likely to have a collection of canes that are just for show?,
638,What songs do you only know the chorus to?,
639,Do you have a green thumb or hands of death when it comes to plants? What roughly is your kill / grow ratio?,
640,Do you think millennials are as bad as everyone says?,
641,What routine are you sick of but haven’t gotten around to changing it?,
642,What TV show character would it be the most fun to change places with for a week?,
643,When was the last time you stayed up through the entire night?,
644,Who should everyone follow on social media?,
645,"Most cultures have some form of dance, what benefit do you think dancing gave to early humans?",
646,What were some of your favorite toys as a child?,
647,Which animal would you want to have a conversation with?,
648,"What age would you prefer if you could choose any age for the rest of your life, and why?",
649,"What sport could you play the longest in a televised game, without anyone discovering you aren’t a professional athlete?",
650,What’s your greatest philosophy in life?,
651,What book do you wish you had read even though you don’t want to read it?,
652,What’s missing in your life right now?,
653,Would you rather have a massage or get a facial?,
654,Do you think that children born today will have better or worse lives than their parents?,
655,Who is the most creative person you know?,
656,What have you wasted way too much time on?,
657,What word can you never spell right?,
658,What was something you really wanted to do as a kid but never had the opportunity to do?,
659,Did you ever think you had superpowers as a child?,
660,How would you pass the time if you were sentenced to jail for a year?,
661,Who is the most impressive famous person today?,
662,"If you could sit on a bench in the middle of a beautiful forest, who would you like to sit next to you and why?",
663,What emoji do you use the most?,
664,What’s about to get much better?,
665,What was the most terrifying experience of your life?,
666,What nicknames do you have for people in your life?,
667,What always makes you feel like a kid again?,
668,"If people receive a purple heart for bravery, what would other color hearts represent?",
669,What subject do you wish you knew more about?,
670,What job would you be terrible at?,
671,What’s your favorite action movie?,
672,How many countries have you visited so far?,
673,What’s a food trend you hate?,
674,What would you teach every girl on the planet about men if you had the chance?,
675,What’s your favorite sport?,
676,What would you do if ever we were given a special time together?,
677,What are you interested in that most people aren’t?,
678,What do you think about when you hear the word “classy”?,
679,Who was your favorite classmate?,
680,"If you could have one magic power, what would it be?",
681,What’s the most beautiful country you’ve ever visited?,
682,What would you like to be remembered for?,
683,What could you always use more of?,
684,What are the three most important life lessons you’ve learned?,
685,What are some pieces of art that had a big impact on you?,
686,What’s the spiciest thing you’ve ever eaten?,
687,What’s the best advice you could give your future children?,
688,What’s the hardest you’ve ever worked?,
689,"Do you prefer to be too hot or too cold, and why?",
690,What did you eat so much of that now you hate it?,
691,Do you think some adversity is good for a person? How much is too much?,
692,Do you think that wanting things necessarily leads to more sadness and misery?,
693,What’s your cure for hiccups?,
694,What do you do to relax and let off steam?,
695,Can you describe to me your relationship with your dad?,
696,"What character in a movie could have been great, but the actor they cast didn’t fit the role?",
697,Which celebrity would make you the most starstruck?,
698,What are your pet peeves?,
699,What was the best thing that happened to you today?,
700,How could you politely end a conversation with a person who is so annoying?,
701,What’s your good luck charm?,
702,Who in your life is the worst at using technology?,
703,What always makes you smile?,
704,What is something you’re happy you’ll never have to do again?,
705,What are some red flags to watch out for in daily life?,
706,What would your last meal be?,
707,What’s your favorite month?,
708,"If you could have coffee with anyone living or dead, who would it be?",
709,What usually scares you the most?,
710,Do you know any funny pick-up lines?,
711,What is your go-to dish in the kitchen?,
712,What’s your favorite place to hang out?,
713,Has anyone given you a strange gift?,
714,What is your favorite accent?,
715,What makes you feel most alive?,
716,What are your most important rules when going on a date?,
717,What small change greatly improves a person’s appearance?,
718,What’s been the biggest blessing in disguise in your life?,
719,What qualities do you want in a partner who will be with you for the rest of your life?,
720,What is something that will never go out of style?,
721,Would you spend a thousand dollars on food?,
722,What innovative idea or product have you heard about recently?,
723,What mythical creature do you wish actually existed?,
724,If you could teach any subject in school what would it be?,
725,What’s the worst movie trope?,
726,What food should taste better than its appearance?,
727,What should be a required subject in school?,
728,What will you tell your past self?,
729,What’s the smartest thing you’ve seen an animal do?,
730,What was the worst shopping experience you’ve ever had?,
731,"If you could classify people as being 2 types, what would they be?",
732,What was the most amazing physical feat you’ve managed to pull off?,
733,What is the craziest thing you’ve done this week?,
734,Which actor or actress is a one trick pony?,
735,How competitive are you?,
736,Can you guess what I’m thinking right now?,
737,Did you play sports growing up?,
738,What is the saddest thing you’ve ever seen?,
739,Which language do you wish you were fluent in?,
740,Where are you not welcome anymore?,
741,What is your most prized possession?,
742,What is your most impressive dance move?,
743,Which of your vices or bad habits would be the hardest to give up?,
744,What movie are you going to make if you become a filmmaker?,
745,What’s the most creative use of emojis you’ve ever seen?,
746,What did you buy recently?,
747,What product do you wish a company would make a “smart” version of?,
748,Are you afraid of ghosts?,
749,"What sports if any do you like to watch? If you aren’t into traditional sports, weird and uncommon sports count too.",
750,"If there was a book of commandments for the modern world, what would some of the rules be?",
751,When was the last time you immediately regretted something you said?,
752,How do you think countries could allocate their resources better?,
753,What is the worst backhanded compliment you’ve ever received?,
754,What’s the funniest word in the English language?,
755,Do you think celebrities can ever live normal lives?,
756,Have you ever counted your steps while walking?,
757,How big of a part of success does luck play?,
758,What game are you basically unbeatable at?,
759,What was the name of your first pet?,
760,"When no one is around, what do you like to wear?",
761,What’s your “and then it got worse” story?,
762,Did you ever think that clowns were creepy?,
763,What do you think about reality TV shows?,
764,Do you plan to have kids?,
765,"If you had a giraffe that you needed to hide, where would you hide it?",
766,What was the best year of your life?,
767,"When you reach the age of 80, what will matter the most to you?",
768,What are your phobias?,
769,What would be the worst food to be liquefied and drunk through a straw?,
770,What appliance would you have the hardest time doing without?,
771,Have you ever been fired?,
772,What’s the most disgusting sounding word in the English language?,
773,How would you describe me based on my outside appearance?,
774,How do you deal with feeling overwhelmed?,
775,What is your favorite movie to quote?,
776,How much sleep do you usually get?,
777,What would you be if you had to wear one Halloween costume every day for the rest of your life?,
778,"Without calling 911 when you are in danger, what would you do instead?",
779,What is something you saw that you wish you could un-see?,
780,What do you think God looks like?,
781,When was a time you acted nonchalant but were going crazy inside?,
782,What is the last show you binge-watched?,
783,What sport will be invented next?,
784,What questions would you like to ask a time traveler from 200 years in the future?,
785,How many of your Facebook friends are your actual friends?,
786,What famous person are you a little too obsessed with?,
787,Who would you want to portray your life story in a movie?,
788,What’s the best advice you’ve ever received?,
789,What is your favorite day of the week?,
790,What’s the most reckless thing you’ve ever done?,
791,"When the doctor says, ""You have 24 hours to live,"" what will you do with the time you have left?",
792,What bad habit is the hardest for you to kick?,
793,What is the most ridiculous fact you know?,
794,What’s the most physically painful thing you’ve ever experienced?,
795,Should kidneys be able to be bought and sold?,
796,What’s the most expensive thing you’ve ever purchased?,
797,What’s the worst thing about the internet?,
798,Would you rather take a walk through a forest or along a beach?,
799,When was the last time you’ve felt your biggest adrenaline rush?,
800,Do you think that humans will ever be able to live together in harmony?,
801,What two films would you like to combine into one?,
802,"If you were stuck on a deserted island, what is the one thing you couldn’t live without?",
803,What weird food combinations do you really enjoy?,
804,What was the biggest realization you had about yourself?,
805,Have you ever stolen food from the refrigerator and blamed it on someone?,
806,What current trend do you hope will go on for a long time?,
807,What’s your go-to cocktail?,
808,What trend do you think is on the way out?,
809,What bit of trivia do you know that is very interesting but also very useless?,
810,What’s the most boring super hero you can come up with?,
811,What’s your favorite social media account to follow?,
812,What is the most exciting thing going on in your life right now?,
813,What’s the best / worst practical joke that you’ve played on someone or that was played on you?,
814,How old were you when you were allowed to have a cellphone?,
815,"If you survived a plane crash, what would you do next?",
816,"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack?",
817,What do you always procrastinate on?,
818,"Are you more of a ""fix it yourself"" or ""call an expert"" kind of person?",
819,"What do you think of the expression, “Love means never having to say you’re sorry”?",
820,What’s the best type of cheese for you?,
821,What are the things you’d bring in a zombie apocalypse?,
822,When was the most inappropriate time you busted out in laughter?,
823,Fun Questions to Ask Friends,
824,What was the worst day of your life?,
825,What is the nicest thing anyone has ever said to you?,
826,What karaoke song do people always butcher?,
827,What is the most common lie people tell themselves?,
828,What scientific discovery would change the course of humanity overnight if it was discovered?,
829,"What kind of company would you start if I offered you $50,000 to start one?",
830,Have you ever burned any bridges?,
831,What’s the most valuable thing you’ve learned in life?,
832,What's the craziest bet you have ever made?,
833,What’s the most recent show you’ve binge watched?,
834,What’s your Pandora station?,
835,What TV series could you watch several times?,
836,What age would you like to live to?,
837,Who is your favorite superhero?,
838,What do you think you do better than 90% of people?,
839,Which do you listen to the most: your heart or your brain?,
840,What’s the weirdest text or email you’ve gotten?,
841,What is your favorite sleeping position of all time?,
842,What is the weirdest superstition you’ve ever heard?,
843,Where do you draw your inner strength?,
844,What profession doesn’t get enough credit or respect?,
845,What movie should everyone see at least once?,
846,Which reality show would you want to be a guest star on?,
847,What’s your lucky number?,
848,"If you could switch two movie characters, what switch would lead to the most inappropriate movies?",
849,What was ruined because it became popular?,
850,What weird potato chip flavor that doesn’t exist would you like to try?,
851,What’s the most pleasant sounding accent?,
852,Do you believe aliens exist?,
853,"What invention doesn’t get a lot of love, but has greatly improved the world?",
854,Do you actively post on social media?,
855,What is the stupidest cliche expression right now?,
856,What’s the worst thing you ate from a fast food restaurant?,
857,"If you could create a TV channel, what would it be?",
858,"How would your country change if everyone, regardless of age, could vote?",
859,How do you make yourself sleep when you can’t seem to get to sleep?,
860,Can you name 5 things that are hidden inside your bedroom?,
861,What is the worst TV advertisement you’ve seen recently?,
862,Would you rather be a hero or a villain in a movie?,
863,Would you drink milk if it was past the expiration date but smelled fine?,
864,"What’s something that will always be in fashion, no matter how much time passes?",
865,How much faith do you put in humanity?,
866,What’s your worst example of procrastination?,
867,What would the polar opposite of you be like?,
868,Which protagonist from a book or movie would make the worst roommate?,
869,Do you believe in horoscopes?,
870,What is the most amazing slow motion video you’ve seen?,
871,What vegetable would you be if you were a vegetable?,
872,What are the things you’d spend with a billion dollars?,
873,What is the strangest room or building you’ve been in?,
874,Do you like things to be carefully planned or do you prefer to just go with the flow?,
875,What’s the coolest animal you’ve seen in the wild?,
876,What makes you jealous?,
877,What’s the funniest TV show you’ve ever seen?,
878,What brand are you most loyal to?,
879,How many times have you traveled by sea?,
880,"If you could create a job based on your biggest talent, what would you be?",
881,What is one important life lesson everyone should learn?,
882,What elements of pop culture will be forever tied in your mind to your childhood?,
883,What was your worst subject in school?,
884,What’s some insider knowledge that only people in your line of work have?,
885,What fashion trend makes you cringe or laugh every time you see it?,
886,Who is your favorite YouTube vlogger?,
887,What’s quickly becoming obsolete?,
888,How long would you choose to live given the choice of any number of years?,
889,"If you could know the truth behind every conspiracy, but you would instantly die if you hinted that you knew the truth, would you want to know?",
890,What social stigma does society need to get over?,
891,What’s your favorite lullaby?,
892,What would you do for an extra hour if you had 25 hours in a day?,
893,Do you prefer to bake or cook?,
894,What’s your go to casino game?,
895,What’s your haunted house story?,
896,"If you were given one thousand acres of land that you didn’t need to pay taxes on but couldn’t sell, what would you do with it?",
897,Who would you like to trade lives with for a day?,
898,What’s something that all your friends agree on?,
899,What is one thing you wish you could understand about the opposite sex?,
900,What’s the weirdest thing you’ve found lying on the ground / side of the road?,
901,What is the best way to wind down at the end of a long day?,
902,What is one overrated food trend?,
903,What has been blown way out of proportion?,
904,What movie or book do you know the most quotes from?,
905,What are the childish acts you still enjoy doing up until now?,
906,What skill would you like to master?,
907,In what ways are you stronger than you look?,
908,What’s the most annoying thing about the social media platform you use most often?,
909,What’s the best thing to do when you’re alone?,
910,How judgmental are you?,
911,Who is your all-time favorite Disney character?,
912,What was cool when you were young but isn’t cool now?,
913,What are some of your happiest childhood memories?,
914,"If you could change your name for a day, what would it be?",
915,What is your favorite odd food pairing?,
916,What app can you not believe someone hasn’t made yet?,
917,What company do you despise?,
918,Do you like listening to podcasts?,
919,Who is your favorite artist or what is your favorite art style?,
920,What are the challenges you never gave up on?,
921,It’s the year 2028 – what are you doing?,
922,Who is the tallest member of your family?,
923,When was the last time you didn’t go to sleep until the sun came up?,
924,Have you ever thought of having plastic surgery?,
925,"If you wanted to slowly drive a roommate insane using only notes, what kind of notes would you leave around the house?",
926,What’s the most worn item in your closet?,
927,How comfortable are you speaking in front of large groups of people?,
928,How ambitious are you?,
929,What would you want to come back as in your next life?,
930,What is one thing you still have from your childhood?,
931,What seemingly innocent question makes you think “It’s a trap!”?,
932,"If you could have any superpower, what would it be?",
933,What is the scariest animal in the world?,
934,What is your best daily habit?,
935,What’s your favorite type of funny video to watch?,
936,"What was the last situation where some weird stuff went down and everyone acted like it was normal, and you weren’t sure if you were crazy or everyone around you was crazy?",
937,What do you hate most and love most about your car / bike if you own one?,
938,What items are always in your fridge?,
939,Who do you not trust among your friends?,
940,Have you ever or would you ever try cosplay?,
941,What is your favorite inspirational quote?,
942,Have you found your place in the world? How common or uncommon do you think it is to feel like you’ve found your place in the world?,
943,What words of advice would you offer to your younger self?,
944,What’s the certain product you couldn’t live without?,
945,How do you deal with a stressful environment?,
946,Would you like to be famous someday?,
947,What’s one body part that you wouldn’t even mind losing?,
948,Where did you tie the knot?,
949,Who is your favorite comedian?,
950,What fictional characters have you had a crush on over the years?,
951,"In your own opinion, how smart are you?",
952,What is one piece of advice you wished you’ve seriously taken?,
953,What is a change you know you should make in your life but can’t seem to actually do?,
954,What three “tribes” do you feel closest to?,
955,"If you could bring one musician back from the dead, who would it be?",
956,What conspiracy theory do you wish you knew the truth behind?,
957,What would you name your car?,
958,What has been your greatest kitchen mistake?,
959,Do you see yourself as creative?,
960,What’s something that I don’t know?,
961,What was your first job?,
962,What household chore do you hate doing the most?,
963,What’s the sexiest animal in the animal kingdom?,
964,What’s the most addicted to a game you’ve ever been?,
965,What three things did your past relationship teach you?,
966,Which of the politicians would you like to marry?,
967,Have you already experienced writing a journal?,
968,What is your most shameful drunken mistake?,
969,How was your wedding?,
970,What’s the most interesting building you’ve ever seen or been in?,
971,What are the things that drive you crazy?,
972,What time do you usually wake up?,
973,What kinds of things do you like to cook or are good at cooking?,
974,What’s the coolest thing you own?,
975,What choice would you make in a prisoner’s dilemma with a total stranger? How about with a friend or family member? *,
976,What’s the meaning of your name?,
977,Which movies do you never change the channel on?,
978,Why does it still rain in the movies when there is a funeral and then stop right after the burial?,
979,What is so special about you?,
980,When was the last time you used “yolo” as an excuse to do something?,
981,What’s the most comfortable bed or chair you’ve ever been in?,
982,What song or artist are you into at the moment?,
983,When is the last time you had a good cry?,
984,Where would you relocate if you were forced to leave the country?,
985,Which celebrity would you rate as a perfect 10?,
986,What’s your favorite store or type of store to walk around in? How about your least favorite?,
987,How many pairs of shoes do you have?,
988,"When did something start out badly for you but in the end, it was great?",
989,What from your childhood are you most nostalgic for?,
990,What would your dream job be?,
991,What’s something you really resent paying for?,
992,What is the most annoying thing people post on social media?,
993,Do you want to have a cat as a companion or do you want to be a cat instead?,
994,What about humans confuses you the most?,
995,"If you were ever bullied as a child, what did you do about it?",
996,What is your favorite topic to talk about?,
997,What are the things you wish you could easily forget?,
998,What are the three scents you like?,
999,What is your most favorite holiday?,
1000,"What do a lot of people have very strong opinions about, even though they know very little about it?",
1001,What near future predictions do you have?,
1002,What is your main reason for getting out of bed every day?,
1003,What country is the strangest from your cultural stand point?,
1004,What’s wrong but sounds right?,
1005,"If you could have lunch with one person from history, who would it be?",
1006,Do you think people are wiser now than they were 100 years ago? Why or why not?,
1007,What’s the best sandwich you’ve ever had?,
1008,What is legal that should really be illegal?,
1009,What’s the best and worst thing about the country you are from?,
1010,Have you ever tripped and fallen in front of a lot of people?,
1011,What is the stupidest song ever written?,
1012,What is your biggest life regret?,
1013,Is a hot dog a sandwich?,
1014,What movie can you watch over and over without ever getting tired of?,
1015,Would you choose to live for another 100 years or start over from the beginning?,
1016,"If someone narrated your life, who would you want to be the narrator?",
1017,What are you waiting for?,
1018,What new language would you like to learn most?,
1019,What is one thing you can’t live without?,
1020,Are you afraid of going near robots?,
1021,What is your favorite dance move when you were a kid?,
1022,Do you get thirsty in the middle of the night?,
1023,What are some red flags and green flags for a new friendship?,
1024,"If you were a clown themed super hero, what powers would you have?",
1025,"If you were given five million dollars to open a small museum, what kind of museum would you create?",
1026,"If you owned a restaurant, what kind of food would it serve?",
1027,Who do you always go to first for advice?,
1028,Do you feel any pressure right now?,
1029,How do you want to die?,
1030,What’s the most exotic food you’ve ever eaten?,
1031,What are some of your favorite things to do outside?,
1032,What’s the cutest thing you can imagine? Something so cute it’s almost painful.,
1033,What is one thing you have no patience for?,
1034,What has someone borrowed but never given back?,
1035,"Which do you prefer, shopping online or in person?",
1036,Does Christmas mean something special to you?,
1037,What are some of the dumbest lyrics you’ve heard in a song?,
1038,What “old person” habits do you have?,
1039,What’s your best story of you or someone else trying to be sneaky and failing miserably?,
1040,How often do you replace your bedsheets?,
1041,"If you have a million, what are the things you wouldn’t spend?",
1042,What is the first concert you ever attended?,
1043,Do you think silence is relaxing or unnerving? Why do you think other people might feel the opposite way?,
1044,What was your best subject in school?,
1045,Where is the best place you’ve been for taking walks?,
1046,What accent do you find the most annoying?,
1047,What are the hobbies you want to develop?,
1048,What is your favorite movie that came out in the last year?,
1049,Do you believe in ghosts?,
1050,"If you were given unlimited resources, how would you lure the worst of humanity into one stadium at the same time?",
1051,You have an hour of free time- what do you do?,
1052,What is the best movie introduction of all time?,
1053,What season best fits your personality?,
1054,What’s the worst food you’ve ever eaten?,
1055,What are the foreign languages you’d like to master?,
1056,What is always worth the splurge versus save?,
1057,Will you be willing to move to another country without your friends and family?,
1058,"If you could re-live one year of your life, which would it be?",
1059,How long was your last relationship with your boyfriend/girlfriend?,
1060,What is one mistake you seem to make over and over again?,
1061,What was the best concert you’ve ever been to?,
1062,Which celebrity or band has the worst fan base?,
1063,When was the last time you yelled at someone?,
1064,What country do you have no desire to ever visit?,
1065,What is the best museum or strangest museum you have been to?,
1066,Which word would you use if you could only use one for the rest of your life?,
1067,What’s your most favorite family tradition?,
1068,What is an instant attraction killer?,
1069,What’s the funniest comedy skit you’ve seen?,
1070,Has anyone tried to kill you?,
1071,Why do you think in western society it has been relatively uncommon for men to wear make up?,
1072,Would you rather stay in or go out on a Friday night?,
1073,"In general, is it better for a person to stand out and be different or blend in with everyone else?",
1074,"Think of a brand, now what would an honest slogan for that brand be?",
1075,What’s your favorite board game?,
1076,What is the craziest thing you’ve done in school?,
1077,What’s the oldest thing you own?,
1078,What do you do when you feel like you are in a rut?,
1079,What’s your favorite car brand?,
1080,When is censorship warranted?,
1081,"If you were given the chance to steal something, what would it be?",
1082,What are the two things you’d like to ask your pet?,
1083,Have you ever been caught while sneaking outside the house?,
1084,Would you want the ability to hear the thoughts of people near you if you couldn’t turn the ability off?,
1085,What is the single most important thing a single individual can do to further the greater good?,
1086,Do you watch the full ad on YouTube or you just skip them?,
1087,What movie role was horribly miscast?,
1088,What was your favorite age?,
1089,What do you usually daydream about?,
1090,What’s the most rage inducing game you’ve ever played?,
1091,What are some of the best vacations you’ve had?,
1092,What escalated very quickly?,
1093,What is the strangest thing your teacher has ever done?,
1094,What is your favorite song lyric?,
1095,What would you do if you become lost in a city you aren’t familiar with?,
1096,What is the most embarrassing moment you had in your workplace?,
1097,What were you completely certain of until you found out you were wrong?,
1098,Is technology a blessing or a curse?,
1099,What is the highest degree of pain you've ever experienced on a scale of 1-10?,
1100,What is the most absurd thing you've been tricked into doing or believing?,
1101,What do you wish you could remember more clearly?,
1102,Do you believe in free will or destiny?,
1103,Where is the most enchanting place you’ve been?,
1104,Will you ever imagine having a child named after you?,
1105,What’s the most overrated product out on the market?,
1106,Are you superstitious about anything?,
1107,What word is a lot of fun to say?,
1108,What’s the biggest overreaction you’ve ever seen?,
1109,What time were you born?,
1110,"Which way should toilet paper hang, over or under?",
1111,What are the things that take up too much of your time?,
1112,What would you like to change in this country if you were chosen as the president?,
1113,What is your most-used emoji?,
1114,What odd smell do you really enjoy?,
1115,What outfit could you put together from clothes you own to get the most laughs?,
1116,What’s the best thing about the internet?,
1117,Which of the Seven Dwarfs resembles you the most?,
1118,What activities make you feel most like yourself?,
1119,"Which year would you visit if you could travel back in time 1,000 years?",
1120,Who would you want to trade lives with?,
1121,Would you rather AI and scientists oversee a country’s policies or politicians?,
1122,"If you could hack into any one computer, which computer would you choose?",
1123,What habit do you have now that you wish you started much earlier?,
1124,What’s the extreme challenge in your life that you’ve already overcome?,
1125,Have you ever been caught staring at the opposite gender?,
1126,What do you like and dislike about your city or town?,
1127,What is your favorite viral video?,
1128,"An epic feast is held in your honor, what’s on the table?",
1129,What’s your grossest bug story?,
1130,What’s the dumbest thing someone has argued with you about?,
1131,What do you usually eat for breakfast?,
1132,What store can you not go into without buying something?,
1133,Have you ever been caught in a lie?,
1134,What happens regularly that would horrify a person from 100 years ago?,
1135,"When you are old, what do you think children will ask you to tell stories about?",
1136,What is something we will never know the answer to?,
1137,What is your favorite way to waste time?,
1138,Do you ever dream of living somewhere else?,
1139,What’s the most ridiculous thing you have bought?,
1140,What unhealthy snack can you not get enough of?,
1141,What is something everyone should be trained to do?,
1142,Do you think you would enjoy a love-hate relationship with someone?,
1143,"If you could be great in only one sport, which sport would you choose?",
1144,Where would you rather be: a place with no food but has water or with food but has no water?,
1145,What did you like / dislike about where you grew up?,
1146,What charities are closest to your heart?,
1147,What was the biggest plot twist of all time?,
1148,What do you want me to tell you?,
1149,What word do you always mispronounce?,
1150,What would the box with all your hopes and dreams inside look like?,
1151,What’s better broken than whole?,
1152,What’s the weirdest thing on your bucket list?,
1153,"If you could get a completely truthful answer to one question, what would you ask?",
1154,What always cheers you up when you think about it?,
1155,"As a child, what did you think would be awesome about being an adult, but isn’t as awesome as you thought it would be?",
1156,What is the most annoying holiday?,
1157,What would be an accurate tag line for each month?,
1158,What food is delicious but a pain to eat?,
1159,What is something that’s true that nobody agrees with you on?,
1160,What’s the worst color that was ever invented?,
1161,Where are some unusual places you’ve been?,
1162,"If you could choose one imaginary friend, who is it going to be?",
1163,How much do you take care of your health?,
1164,Do you think flying cars will ever exist?,
1165,Are you scared of getting older?,
1166,What will be your reaction if you see a ghost?,
1167,What are your hidden talents?,
1168,What three things would you want with you if you were stranded on a desert island?,
1169,What’s the grossest food that you just can’t get enough of?,
1170,What is the first thing you do after getting home from a trip?,
1171,What’s the saddest scene in a movie or TV series?,
1172,What flower is your favorite?,
1173,What is the worst fashion trend of all time?,
1174,What is the strangest thing a guest has done at your house?,
1175,What riddles do you know?,
1176,What is the best song to describe your life right now?,
1177,"If you could meet anyone in this world today, who would you meet?",
1178,Who gave you the best compliment?,
1179,What do you think you are much better at than you actually are?,
1180,"If you could only drink coffee or tea for the rest of your life, which one would you choose?",
1181,"Which part of the roller coaster do you usually ride: the front, middle or back?",
1182,Do I look attractive to you?,
1183,What trend are you tired of?,
1184,Who inspires you the most?,
1185,What was the last book you read?,
1186,Do you keep a really big secret from someone/anyone?,
1187,Which film do you want to see turned into a musical?,
1188,"In what situations, do you wish you could throw down a smoke bomb and disappear?",
1189,Who gave you the weirdest gift?,
1190,What has been your worst nightmare?,
1191,What advice would you give your 13-year-old self?,
1192,Do you spend too much time playing games on your smartphone?,
1193,What was your favorite class in school?,
1194,Have you ever been totally wrong about something you were sure you were right about?,
1195,Who is the best movie villain?,
1196,Have you ever had a “this could only happen in the movie” moment?,
1197,Have you ever had to run from the police?,
1198,When was the last time you face palmed?,
1199,What’s the weirdest animal for you?,
1200,What’s are some of your Pavlovian responses?,
1201,What’s something common from your childhood that will seem strange to future generations?,
1202,What is one ability that you believe everybody should possess?,
1203,What little things make your day better?,
1204,What’s your favorite app?,
1205,"What’s something that everyone agrees we should change, but somehow it never changes?",
1206,If you were a graffiti artist what would your tag look like?,
1207,Are you a patient person? What are you patient with that most people aren’t and what do you have no patience for?,
1208,What was the last song you sang along to?,
1209,What’s the best concert you’ve been to? What made it so good?,
1210,What’s your favorite vacation spot?,
1211,"If you could only teach three things to your future child, what would it be?",
1212,Who has taught you the best lesson in life?,
1213,Do you know how to change a flat tire?,
1214,Would you rather have 20 hobbies or a single passion?,
1215,"Which of the two smells better, fresh-cut grass or bread baking in the oven?",
1216,"Have you ever dropped something on the floor, then picked it up and ate it?",
1217,What from the present will withstand the test of time?,
1218,"If you could be a Hollywood celebrity, who would you like to become?",
1219,Which store would you like if you could just shop at one for the rest of your life?,
1220,What is the dumbest way you've been hurt?,
1221,What was your most recent lie?,
1222,Which brand of smartphone do you dislike the most?,
1223,How do you judge a person?,
1224,Do you like cooking? What dishes can you make?,
1225,What’s the most beautiful beach you’ve been to?,
1226,When was the last time you felt you had a new lease on life?,
1227,What’s the most interesting documentary you’ve ever watched?,
1228,What actors or actresses play the same character in almost every movie or show they do?,
1229,Who is the most hardcore person you know?,
1230,What event in your life would make a good movie?,
1231,What features would you like to see in the next round of TV’s?,
1232,What movie universe would be the worst to live out your life in?,
1233,What is the grossest smell?,
1234,What animal would you most like to eat?,
1235,Who’s is the person you feel most comfortable around?,
1236,How do your friends usually describe you?,
1237,What is your most overused emoji?,
1238,"What do you look for when you buy clothes? (Good value, latest fashion, your own unique style, function, comfort, etc.)",
1239,What are you actually good at?,
1240,Who is your favorite athlete?,
1241,Have you ever taken anything out of your possession and failed to return it?,
1242,What two things are terrible when separate but great when you put them together?,
1243,What law would you like to make that every person should strictly follow?,
1244,Who is the worst celebrity to use as a role model?,
1245,Is there something you recently regret doing?,
1246,Which body part is your favorite?,
1247,Have you ever had a crush on a teacher?,
1248,What is the best name you could think for a cat?,
1249,What’s the creepiest tech out there?,
1250,What animal would be the most terrifying if it could speak?,
1251,What are some of your favorite memories with your family?,
1252,What were some of the non-tragic turning points in your life?,
1253,What is/was your favorite subject in school?,
1254,What are your hopes for the future?,
1255,Do you have any irrational fears?,
1256,What is the worst decision you’ve ever made?,
1257,What is your claim to fame?,
1258,Do you think that humans as a species have changed much in the last 2000 years? Not human technology but humans themselves. Why or why not?,
1259,What’s your best example of correlation not equaling causation?,
1260,What was the last photo you took?,
1261,What is one word to describe the country you’re from?,
1262,What’s the weirdest conversation you’ve eavesdropped on?,
1263,Are you an extrovert or introvert?,
1264,Who is the most manipulative person you’ve ever met?,
1265,What was the most unsettling film you’ve seen?,
1266,What is the most heartwarming thing you’ve ever seen?,
1267,Do you still keep secrets from mom/dad?,